nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
CHOQUEHUANCA CESPEDES DAVID,18,2011,MINISTERIO DE RELACIONES EXTERIORES,1,1,,,,,
CHOQUEHUANCA CESPEDES DAVID,18,2012,MINISTERIO DE RELACIONES EXTERIORES,1,1,,,,,
CHOQUEHUANCA CESPEDES DAVID,18,2013,MINISTERIO DE RELACIONES EXTERIORES,1,1,,,,,
CHOQUEHUANCA CESPEDES DAVID,18,2014,MINISTERIO DE RELACIONES EXTERIORES,1,1,,,,,
CHOQUEHUANCA CESPEDES DAVID,18,2015,MINISTERIO DE RELACIONES EXTERIORES,1,1,,,,,
CLAROS HINOJOSA MILTON,19,2015,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
COCA ANTEZANA OSCAR,20,2008,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
COCA ANTEZANA OSCAR,20,2009,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
COCA ANTEZANA OSCAR,20,2010,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
COCA ANTEZANA OSCAR,20,2011,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
COPA CONDORI NILDA,21,2010,MINISTERIO DE JUSTICIA,10,1,,,,,
COPA CONDORI NILDA,21,2011,MINISTERIO DE JUSTICIA,10,1,,,,,
DALENCE SALINAS JOSE GUILLERMO,22,2007,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
DAVILA TORRES AMANDA,23,2012,MINISTERIO DE COMUNICACIÓN,22,1,,,,,
DAVILA TORRES AMANDA,23,2013,MINISTERIO DE COMUNICACIÓN,22,1,,,,,
DAVILA TORRES AMANDA,23,2014,MINISTERIO DE COMUNICACIÓN,22,1,,,,,
DELGADILLO TERCEROS WALTER JUVENAL,24,2007,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
DELGADILLO TERCEROS WALTER JUVENAL,24,2008,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
DELGADILLO TERCEROS WALTER JUVENAL,24,2009,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
DELGADILLO TERCEROS WALTER JUVENAL,24,2010,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
DELGADILLO TERCEROS WALTER JUVENAL,24,2011,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
ECHAZU ALVARADO LUIS ALBERTO,25,2007,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
ECHAZU ALVARADO LUIS ALBERTO,25,2008,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
ECHAZU ALVARADO LUIS ALBERTO,25,2009,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
FERREIRA JUSTINIANO REYMI LUIS,26,2015,MINISTERIO DE DEFENSA,7,1,,,,,
GALVEZ MAMANI SANTIAGO ALEX,27,2006,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
GOMEZ MAMANI MILTON,29,2010,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
GROUX CANEDO PABLO CESAR,30,2009,"MINISTERIO DE CULTURA (LUEGO ""Y TURISMO"")",21,1,,,,,
GROUX CANEDO PABLO CESAR,30,2012,"MINISTERIO DE CULTURA (LUEGO ""Y TURISMO"")",21,1,,,,,
GROUX CANEDO PABLO CESAR,30,2013,MINISTERIO DE CULTURAS Y TURISMO,21,1,,,,,
GROUX CANEDO PABLO CESAR,30,2014,MINISTERIO DE CULTURAS Y TURISMO,21,1,,,,,
GROUX CANEDO PABLO CESAR,30,2015,MINISTERIO DE CULTURAS Y TURISMO,21,1,,,,,
GUTIERREZ PEREZ JOSE LUIS,31,2011,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
GUTIERREZ SALAZAR ELIZABETH SANDRA,32,2014,MINISTERIO DE JUSTICIA,10,1,,,,,
HEREDIA MIRANDA NILA EFIGENIA,33,2006,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
HEREDIA MIRANDA NILA EFIGENIA,33,2007,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
HEREDIA MIRANDA NILA EFIGENIA,33,2010,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
HEREDIA MIRANDA NILA EFIGENIA,33,2011,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
HURTADO MERCADO ANGEL GONZALO JAVIER,34,2008,MINISTERIO DE DESARROLLO ECONÓMICO Y MICROEMPRESA,15,1,,,,,
LEDEZMA CORNEJO JORGE,35,2015,MINISTERIO DE DEFENSA,7,1,,,,,
LLORENTTY SOLIZ SACHA SERGIO,36,2010,MINISTERIO DE GOBIERNO,2,1,,,,,
LLORENTTY SOLIZ SACHA SERGIO,36,2011,MINISTERIO DE GOBIERNO,2,1,,,,,
MACHICAO BANKOVIC MARKO MARCELO,37,2015,MINISTERIO DE CULTURAS Y TURISMO,21,1,,,,,
MAMANI MARCA ABEL PEDRO,38,2006,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
MAMANI MARCA ABEL PEDRO,38,2007,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
MENACHO DIEDERICH PABLO,39,2009,MINISTERIO DE DEFENSA LEGAL DEL ESTADO,20,1,,,,,
MERCADO SUAREZ JERGES,40,2007,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
MOLDIZ MERCADO JOSE HUGO,41,2015,MINISTERIO DE GOBIERNO,2,1,,,,,
MONJE VILLA JULIETA MABEL,42,2011,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
MORALES OLIVERA ANA TERESA,44,2011,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
MORALES OLIVERA ANA TERESA,44,2012,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
MORALES OLIVERA ANA TERESA,44,2013,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
MORALES OLIVERA ANA TERESA,44,2014,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
MOREIRA LOPEZ MARIA ALEXANDRA,45,2015,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
MUÑOZ ALA ALICIA,56,2006,MINISTERIO DE GOBIERNO,2,1,,,,,
NAVARRO MIRANDA FÉLIX CÉSAR,47,2015,MINISTERIO DE MINERIA Y METALURGIA,9,1,,,,,
ORELLANA HALKYER RENE GONZALO,48,2008,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
ORELLANA HALKYER RENE GONZALO,48,2009,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
ORELLANA HALKYER RENE GONZALO,48,2010,MINISTERIO DE MEDIO AMBIENTE Y AGUA,12,1,,,,,
ORELLANA HALKYER RENE GONZALO,48,2015,MINISTERIO DE PLANIFICACIÓN DEL DESARROLLO,16,1,,,,,
PACO DURAN MARIANELA,49,2015,MINISTERIO DE COMUNICACIÓN,22,1,,,,,
PATZI PACO FELIX,50,2006,MINISTERIO DE EDUCACIÓN,6,1,,,,,
PEÑA CLAROS CLAUDIA STACY,51,2011,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
PEÑA CLAROS CLAUDIA STACY,51,2012,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
